epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5942,2.01062,2.49481,1.58279,0.42838,0.26052,0.25566,0.0987,2.2349,2.19256,1.75237,0.000661333,0.000661333,0.000661333
2,42.074,2.03532,1.98204,1.61306,0.44275,0.38123,0.29313,0.11943,2.07676,2.07398,1.71401,0.00119653,0.00119653,0.00119653
3,62.597,2.03671,1.90229,1.60061,0.42814,0.39906,0.34971,0.14154,2.11268,1.9969,1.65531,0.00159972,0.00159972,0.00159972
4,88.9096,1.97153,1.78617,1.55778,0.4869,0.40134,0.39521,0.15986,2.10105,1.73195,1.61541,0.001406,0.001406,0.001406
5,111.652,1.95908,1.71235,1.54135,0.59218,0.41136,0.46223,0.19021,2.07763,1.6199,1.57804,0.001208,0.001208,0.001208
6,134.223,1.88576,1.64106,1.49639,0.60222,0.44728,0.47807,0.20656,1.96972,1.51365,1.47765,0.00101,0.00101,0.00101
7,157.127,1.82706,1.56231,1.46253,0.62049,0.4149,0.47583,0.21798,1.9285,1.57311,1.49375,0.000812,0.000812,0.000812
8,177.733,1.78782,1.53218,1.44435,0.60819,0.4774,0.52303,0.24032,1.87038,1.433,1.47584,0.000614,0.000614,0.000614
9,197.05,1.75771,1.46189,1.43366,0.62491,0.48263,0.54382,0.24994,1.87206,1.37413,1.45349,0.000416,0.000416,0.000416
10,214.385,1.72635,1.40153,1.4071,0.66848,0.4743,0.55453,0.25487,1.81251,1.35769,1.42065,0.000218,0.000218,0.000218
